UserID : 10 | Username : test | Action : Add News | Time: 2015-08-1711:52:54am
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:20:34pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:25:44pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:28:27pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:48:59pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:51:21pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 12:57:26pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 01:03:07pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 01:05:29pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 01:06:25pm
UserID : 10 | Username : test | Action : Add News | Time: 2015-08-17 01:13:53pm
UserID :  | Username :  | Action : Delete News | Time: 2015-08-17 01:39:53pm
UserID :  | Username :  | Action : Delete News | Time: 2015-08-17 01:40:02pm
UserID :  | Username :  | Action : Delete News | Time: 2015-08-17 01:40:09pm
UserID : 10 | Username : test | Action : Delete News | Time: 2015-08-17 01:42:24pm
UserID : 10 | Username : test | Action :  | Action Variable:  | Time: 2015-08-17 01:59:36pm
UserID : 10 | Username : test | Action :  | Action Variable: News ID : 37 | Time: 2015-08-17 02:09:26pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : vvv , Description : xcx   ] | Time: 2015-08-17 02:19:17pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : vvv , Description : xcx   ] | Time: 2015-08-17 02:20:46pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : hasah , Description : hahaah ] | Time: 2015-08-17 03:04:28pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : jfdd , Description : 124 ] | Time: 2015-08-17 03:04:43pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : jfdd , Description : 124 ] | Time: 2015-08-17 03:08:41pm
UserID : 10 | Username : test | Action :  | Action Variable: [ Section : 18 , Title : not submit , Description : not submitnot submitnot submitnot submitnot submitnot submitnot submitnot submitnot submitnot submit ] | Time: 2015-08-17 03:09:46pm
UserID : 10 | Username : test | Action : Delete News | Action Variable: [ News ID : 43 ] | Time: 2015-08-18 01:29:38pm
UserID : 5 | Username : super | Action : Add section | Action Variable: Name : New section | Time: 2015-08-18 03:01:39pm
